,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
4,GOOG240726P00150000,2024-06-20 14:47:14+00:00,150.0,0.44,0.26,0.36,0.0,0.0,5.0,274.0,0.36133451171875,False,REGULAR,USD,2024-07-26
5,GOOG240726P00155000,2024-06-21 18:08:20+00:00,155.0,0.47,0.47,0.7,-0.16,-25.396824,43.0,84.0,0.358404853515625,False,REGULAR,USD,2024-07-26
6,GOOG240726P00160000,2024-06-21 19:32:38+00:00,160.0,0.7,0.67,0.87,-0.38000005,-35.18519,92.0,124.0,0.3178779150390625,False,REGULAR,USD,2024-07-26
7,GOOG240726P00165000,2024-06-21 19:46:28+00:00,165.0,1.25,1.26,1.5,-0.55999994,-30.939224,67.0,231.0,0.3073799731445312,False,REGULAR,USD,2024-07-26
8,GOOG240726P00170000,2024-06-21 19:46:52+00:00,170.0,2.16,2.08,2.49,-0.8599999,-28.476816,81.0,211.0,0.297736514892578,False,REGULAR,USD,2024-07-26
9,GOOG240726P00175000,2024-06-21 19:46:52+00:00,175.0,3.38,3.55,3.75,-1.2199998,-26.521736,94.0,118.0,0.278327529296875,False,REGULAR,USD,2024-07-26
10,GOOG240726P00180000,2024-06-21 19:53:55+00:00,180.0,5.36,5.2,6.4,-1.8899999,-26.068964,62.0,65.0,0.2978585839843749,False,REGULAR,USD,2024-07-26
11,GOOG240726P00190000,2024-06-18 14:44:48+00:00,190.0,14.03,10.45,12.5,0.0,0.0,5.0,7.0,0.2887034020996093,True,REGULAR,USD,2024-07-26
12,GOOG240726P00195000,2024-06-21 16:41:30+00:00,195.0,14.1,13.8,16.5,-3.8599987,-21.492199,1.0,1.0,0.29383030395507803,True,REGULAR,USD,2024-07-26
13,GOOG240726P00200000,2024-06-17 13:44:08+00:00,200.0,23.0,17.5,20.85,0.0,0.0,1.0,5.0,0.2999337585449219,True,REGULAR,USD,2024-07-26
0,GOOG240802P00130000,2024-06-13 18:48:36+00:00,130.0,0.11,0.0,2.22,0.0,0.0,1.0,1.0,0.6701693139648439,False,REGULAR,USD,2024-08-02
1,GOOG240802P00155000,2024-06-21 18:26:54+00:00,155.0,0.58,0.58,0.82,-0.24000001,-29.268295,29.0,37.0,0.3398503515625,False,REGULAR,USD,2024-08-02
2,GOOG240802P00160000,2024-06-21 19:46:59+00:00,160.0,0.95,0.94,1.11,-0.31,-24.603174,28.0,81.0,0.3107979077148437,False,REGULAR,USD,2024-08-02
3,GOOG240802P00165000,2024-06-21 17:23:35+00:00,165.0,1.52,1.49,1.83,-0.68000007,-30.909094,11.0,976.0,0.30152065673828127,False,REGULAR,USD,2024-08-02
4,GOOG240802P00170000,2024-06-21 19:51:28+00:00,170.0,2.43,2.36,2.75,-1.1199999,-31.549294,72.0,29.0,0.2846751220703124,False,REGULAR,USD,2024-08-02
5,GOOG240802P00180000,2024-06-21 16:32:07+00:00,180.0,5.5,5.8,7.4,-3.1999998,-36.78161,3.0,14.0,0.3128120477294921,False,REGULAR,USD,2024-08-02
6,GOOG240802P00185000,2024-06-17 19:41:09+00:00,185.0,9.86,6.8,10.4,0.0,0.0,2.0,50.0,0.3197089514160155,True,REGULAR,USD,2024-08-02
0,GOOG240816P00090000,2024-06-21 14:52:11+00:00,90.0,0.01,0.0,0.07,-0.02,-66.66667,1.0,25.0,0.6640658593750002,False,REGULAR,USD,2024-08-16
1,GOOG240816P00100000,2024-06-14 19:56:35+00:00,100.0,0.04,0.0,0.08,0.0,0.0,1.0,23.0,0.57812921875,False,REGULAR,USD,2024-08-16
2,GOOG240816P00105000,2024-05-28 13:30:01+00:00,105.0,0.1,0.01,0.09,0.0,0.0,3.0,3.0,0.5468795312500001,False,REGULAR,USD,2024-08-16
3,GOOG240816P00110000,2024-06-21 18:59:28+00:00,110.0,0.04,0.03,0.1,-0.030000001,-42.857143,3.0,8.0,0.51758294921875,False,REGULAR,USD,2024-08-16
4,GOOG240816P00115000,2024-06-18 17:50:29+00:00,115.0,0.08,0.03,0.12,0.0,0.0,1.0,21.0,0.5136767382812499,False,REGULAR,USD,2024-08-16
5,GOOG240816P00120000,2024-06-13 13:32:12+00:00,120.0,0.12,0.05,0.13,0.0,0.0,8.0,37.0,0.47559118164062497,False,REGULAR,USD,2024-08-16
6,GOOG240816P00125000,2024-06-17 17:57:27+00:00,125.0,0.11,0.07,0.16,0.0,0.0,1.0,65.0,0.445318046875,False,REGULAR,USD,2024-08-16
7,GOOG240816P00130000,2024-06-21 14:36:36+00:00,130.0,0.15,0.1,0.19,0.0,0.0,12.0,89.0,0.414068359375,False,REGULAR,USD,2024-08-16
8,GOOG240816P00135000,2024-06-21 16:27:48+00:00,135.0,0.18,0.15,0.24,-0.059999987,-24.999996,16.0,103.0,0.38623660644531244,False,REGULAR,USD,2024-08-16
9,GOOG240816P00140000,2024-06-21 19:54:28+00:00,140.0,0.25,0.22,0.3,-0.09,-26.470589,16.0,225.0,0.3579165771484375,False,REGULAR,USD,2024-08-16
10,GOOG240816P00145000,2024-06-21 19:25:09+00:00,145.0,0.35,0.33,0.42,-0.14000002,-28.57143,9.0,263.0,0.336920693359375,False,REGULAR,USD,2024-08-16
11,GOOG240816P00150000,2024-06-21 19:50:01+00:00,150.0,0.53,0.54,0.67,-0.19000006,-26.388895,108.0,361.0,0.3249579223632812,False,REGULAR,USD,2024-08-16
12,GOOG240816P00155000,2024-06-21 19:54:28+00:00,155.0,0.83,0.84,0.9,-0.36000007,-30.252106,16.0,513.0,0.3007882421875,False,REGULAR,USD,2024-08-16
13,GOOG240816P00160000,2024-06-21 19:42:05+00:00,160.0,1.32,1.32,1.47,-0.52,-28.260868,166.0,884.0,0.2933420275878905,False,REGULAR,USD,2024-08-16
14,GOOG240816P00165000,2024-06-21 19:36:48+00:00,165.0,1.94,2.07,2.17,-0.8799999,-31.20567,224.0,974.0,0.27857166748046874,False,REGULAR,USD,2024-08-16
15,GOOG240816P00170000,2024-06-21 19:51:28+00:00,170.0,3.15,3.1,3.4,-1.0499997,-24.999994,153.0,2859.0,0.27417718017578124,False,REGULAR,USD,2024-08-16
16,GOOG240816P00175000,2024-06-21 19:50:04+00:00,175.0,4.56,4.7,5.1,-1.44,-24.0,432.0,3135.0,0.270515107421875,False,REGULAR,USD,2024-08-16
17,GOOG240816P00180000,2024-06-21 19:55:26+00:00,180.0,6.9,6.8,9.05,-1.3499999,-16.363636,358.0,2162.0,0.3293524096679687,False,REGULAR,USD,2024-08-16
18,GOOG240816P00185000,2024-06-21 19:44:18+00:00,185.0,9.0,7.4,11.3,-2.3199997,-20.494698,148.0,163.0,0.30878376770019533,True,REGULAR,USD,2024-08-16
19,GOOG240816P00190000,2024-06-21 19:50:09+00:00,190.0,12.2,10.6,13.05,-2.1500006,-14.982583,18.0,310.0,0.24964129272460936,True,REGULAR,USD,2024-08-16
20,GOOG240816P00195000,2024-06-21 16:29:16+00:00,195.0,15.0,15.95,16.75,-5.0,-25.0,16.0,30.0,0.2434768035888672,True,REGULAR,USD,2024-08-16
