,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
3,GOOG240705C00135000,2024-06-21 16:44:05+00:00,135.0,47.4,44.75,48.0,5.170002,12.242486,1.0,6,1.0800827246093752,True,REGULAR,USD,2024-07-05
4,GOOG240705C00140000,2024-06-21 16:24:21+00:00,140.0,42.13,39.8,43.0,3.130001,8.025644,7.0,10,0.9765627343750001,True,REGULAR,USD,2024-07-05
5,GOOG240705C00145000,2024-06-05 19:27:42+00:00,145.0,32.04,34.8,38.0,0.0,0.0,,1,0.8696302099609375,True,REGULAR,USD,2024-07-05
6,GOOG240705C00150000,2024-06-21 18:31:03+00:00,150.0,32.03,29.85,33.0,4.1899986,15.050283,123.0,93,0.7690452783203126,True,REGULAR,USD,2024-07-05
7,GOOG240705C00155000,2024-06-14 13:30:01+00:00,155.0,21.57,24.85,28.0,0.0,0.0,2.0,10,0.6645541357421877,True,REGULAR,USD,2024-07-05
8,GOOG240705C00160000,2024-06-21 17:32:33+00:00,160.0,21.6,19.9,23.0,3.0699997,16.567726,10.0,93,0.5639692041015626,True,REGULAR,USD,2024-07-05
9,GOOG240705C00165000,2024-06-21 19:55:18+00:00,165.0,16.47,14.95,18.0,4.0699997,32.82258,17.0,211,0.6325720336914062,True,REGULAR,USD,2024-07-05
10,GOOG240705C00170000,2024-06-21 19:55:38+00:00,170.0,11.58,10.2,11.4,2.8999996,33.410133,56.0,167,0.34448897705078124,True,REGULAR,USD,2024-07-05
11,GOOG240705C00175000,2024-06-21 19:59:04+00:00,175.0,6.75,6.15,7.05,1.8600001,38.036816,115.0,415,0.288947540283203,True,REGULAR,USD,2024-07-05
12,GOOG240705C00180000,2024-06-21 19:56:53+00:00,180.0,3.3,2.96,4.3,1.26,61.764706,1397.0,1027,0.3073799731445312,True,REGULAR,USD,2024-07-05
13,GOOG240705C00185000,2024-06-21 19:59:56+00:00,185.0,1.19,1.0,2.0,0.49000007,70.00001,1865.0,1245,0.2854075366210937,False,REGULAR,USD,2024-07-05
14,GOOG240705C00190000,2024-06-21 19:52:47+00:00,190.0,0.41,0.1,0.5,0.17999999,78.260864,1394.0,3967,0.2387771435546875,False,REGULAR,USD,2024-07-05
15,GOOG240705C00195000,2024-06-21 19:55:18+00:00,195.0,0.13,0.01,0.17,0.03999999,44.44443,411.0,3505,0.2485426708984375,False,REGULAR,USD,2024-07-05
