Date,Open,High,Low,Close,Adj Close,Volume
2015-08-31,16.754000,16.754000,16.754000,16.754000,2656884.500000,0
2015-09-01,16.889999,16.889999,16.889999,16.889999,2678451.750000,0
2015-09-02,16.731001,16.731001,16.667000,16.667000,2643087.750000,650
2015-09-03,16.941999,16.941999,16.941999,16.941999,2686698.000000,0
2015-09-04,17.773001,17.773001,17.773001,17.773001,2818480.000000,36
2015-09-07,17.080999,17.173000,17.080999,17.173000,2723330.250000,35
2015-09-08,17.059999,17.059999,17.059999,17.059999,2705410.750000,0
2015-09-09,16.959999,16.959999,16.959999,16.959999,2689552.500000,0
2015-09-10,17.134001,17.134001,17.134001,17.134001,2717146.000000,0
2015-09-11,17.201000,17.201000,17.201000,17.201000,2727771.000000,0
2015-09-14,17.114000,17.114000,17.114000,17.114000,2713974.000000,0
2015-09-15,17.381001,17.381001,17.381001,17.381001,2756315.500000,0
2015-09-16,17.198000,17.198000,17.198000,17.198000,2727295.250000,0
2015-09-17,17.047001,17.047001,17.047001,17.047001,2703349.500000,0
2015-09-18,17.264000,17.264000,17.264000,17.264000,2737761.500000,0
2015-09-21,17.007999,17.007999,17.007999,17.007999,2697164.250000,0
2015-09-22,17.218000,17.218000,16.930000,16.930000,2684795.250000,36
2015-09-23,16.568001,16.986000,16.568001,16.986000,2693675.500000,40
2015-09-24,16.698999,16.920000,16.698999,16.920000,2683209.250000,400
2015-09-25,16.721001,16.721001,16.721001,16.721001,2651651.250000,0
2015-09-28,16.804001,16.804001,16.804001,16.804001,2664813.750000,0
2015-09-29,16.525000,16.525000,16.525000,16.525000,2620569.250000,0
2015-09-30,17.170000,17.170000,17.170000,17.170000,2722854.500000,0
2015-10-01,16.969000,16.969000,16.969000,16.969000,2690980.250000,0
2015-10-02,16.990999,16.990999,16.930000,16.930000,2684795.250000,300
2015-10-05,16.722000,16.722000,16.722000,16.722000,2651810.000000,30
2015-10-06,16.950001,17.250000,16.950001,17.250000,2735541.500000,20
2015-10-07,17.000000,17.000000,17.000000,17.000000,2695895.750000,30
2015-10-08,17.007000,17.077999,17.007000,17.077999,2708265.250000,135
2015-10-09,17.334000,17.334000,17.334000,17.334000,2748862.000000,30
2015-10-12,18.077000,18.850000,18.077000,18.850000,2989272.750000,830
2015-10-13,18.327000,18.327000,18.302999,18.302999,2902528.000000,25
2015-10-14,18.016001,18.016001,18.016001,18.016001,2857015.500000,0
2015-10-15,18.204000,18.204000,18.204000,18.204000,2886829.000000,0
2015-10-16,18.298000,18.400000,18.298000,18.400000,2917910.500000,205
2015-10-19,18.018000,18.018000,18.018000,18.018000,2857332.500000,0
2015-10-20,17.871000,17.871000,17.871000,17.871000,2834021.000000,0
2015-10-21,17.584000,17.584000,17.584000,17.584000,2788507.750000,0
2015-10-22,17.454000,17.454000,17.454000,17.454000,2767892.000000,0
2015-10-23,17.943001,17.943001,17.943001,17.943001,2845438.750000,0
2015-10-26,17.874001,17.874001,17.874001,17.874001,2834497.000000,0
2015-10-27,18.148001,18.148001,18.148001,18.148001,2877948.500000,0
2015-10-28,18.209000,18.209000,18.209000,18.209000,2887621.750000,0
2015-10-29,18.040001,18.040001,18.040001,18.040001,2860821.250000,0
2015-10-30,17.231001,17.231001,17.231001,17.231001,2732528.500000,0
2015-11-02,17.396000,17.396000,17.396000,17.396000,2758694.500000,0
2015-11-03,17.356001,17.356001,17.356001,17.356001,2752351.250000,0
2015-11-04,17.375999,17.375999,17.375999,17.375999,2755522.750000,0
2015-11-05,17.521999,17.521999,17.521999,17.521999,2778675.750000,0
2015-11-06,17.820999,17.820999,17.705999,17.705999,2807855.000000,300
2015-11-09,17.612000,17.844999,17.612000,17.844999,2829897.750000,245
2015-11-10,17.881001,17.881001,17.881001,17.881001,2835607.000000,0
2015-11-11,17.955000,18.482000,17.955000,18.482000,2930914.500000,300
2015-11-12,18.184000,18.184000,18.184000,18.184000,2883657.250000,0
2015-11-13,18.011999,18.011999,17.743999,17.743999,2813880.500000,250
2015-11-16,17.722000,17.722000,17.722000,17.722000,2810392.000000,0
2015-11-17,17.780001,17.780001,17.780001,17.780001,2819590.000000,0
2015-11-18,18.747999,18.747999,18.747999,18.747999,2973097.250000,0
2015-11-19,19.087000,19.705999,19.087000,19.370001,3071735.250000,1970
2015-11-20,18.816000,18.816000,18.816000,18.816000,2983881.500000,0
2015-11-23,18.780001,18.780001,18.780001,18.780001,2978172.250000,0
2015-11-24,19.054001,19.054001,19.054001,19.054001,3021623.750000,0
2015-11-25,19.059999,19.059999,19.059999,19.059999,3022575.250000,0
2015-11-26,19.091000,19.091000,19.091000,19.091000,3027491.250000,0
2015-11-27,19.252001,19.252001,19.252001,19.252001,3053023.000000,0
2015-11-30,19.077999,19.510000,19.077999,19.510000,3093937.000000,210
2015-12-01,19.549000,19.549000,19.549000,19.549000,3100121.500000,0
2015-12-02,19.448000,19.448000,19.448000,19.448000,3084105.250000,0
2015-12-03,19.656000,19.704000,19.656000,19.704000,3124702.000000,1000
